cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Panama,Panama,3.6537,39,0,0,11,4,23,0,0,65,0,0,0,20,0,0,0,0,500000000,91530000000,117,0,100000,0,1759698,3800644,75420,2490,800,687,44.69,PAN,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg
Paraguay,Paraguay,2.1898,33,0,0,6,15,11,0,13,63,0,108,0,40,0,0,0,0,250000000,17700000000,799,0,30000,0,3372366,7025763,406752,0,3100,4655,31.3,PRY,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg
Peru,Peru,0.6219,273,17,38,40,77,99,16,146,552,24,231,70,60,0,5,0,7,2560000000,66250000000,191,43520,210000,473000000,15352302,31331228,1285216,2414,8808,7062,208.2,PER,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg
Philippines,Philippines,0.7852,171,0,19,23,24,97,0,7,513,0,286,0,103,0,0,0,2,3470000000,76180000000,247,15000,320000,138500000,51887757,105893381,300000,36289,3219,0,284.6,PHL,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg
Poland,Poland,0.3397,457,91,0,49,104,176,30,1069,2547,547,0,180,87,0,3,0,2,12000000000,2.41E+11,126,20070,585000,137800000,18826137,38420687,312685,440,3997,2845,552.2,POL,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg
Portugal,Portugal,0.8612,90,24,0,11,18,23,0,133,756,18,61,0,41,0,2,0,5,3358000000,4.49E+11,64,0,265000,0,4804949,10355493,92090,1793,210,1224,228.2,PRT,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg
Qatar,Qatar,1.6703,123,24,6,12,35,46,3,92,250,46,12,15,86,0,0,0,0,6000000000,1.68E+11,6,1500000,190000,25240000000,612164,2363569,11586,563,0,87,212,QAT,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg
"Congo, Republic of the","Congo, Republic of the",2.9509,13,2,0,3,0,8,1,86,225,0,0,6,6,0,0,0,0,715000000,4605000000,27,244200,185000,1600000000,1938754,5062021,342000,169,1120,5008,14.11,COG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/800px-Flag_of_the_Republic_of_the_Congo.svg.png?20210814051113
Romania,Romania,0.6177,143,26,0,12,41,62,0,943,1369,0,808,243,48,0,0,0,3,5050000000,95970000000,45,73740,240000,600000000,11007501,21457116,238391,225,1731,2844,199,ROU,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg
Russia,Russia,0.0681,4163,873,742,424,497,1522,531,12950,27038,6083,4465,3860,603,1,62,16,10,48000000000,5.40E+11,1218,10580000,3225000,80000000000,69640160,142122776,17098242,37653,102000,22408,2057,RUS,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/1200px-Flag_of_Russia.svg.png
Saudi Arabia,Saudi Arabia,0.3034,879,270,81,49,208,283,34,1062,12825,705,1818,122,55,0,0,0,3,67600000000,2.05E+11,214,10130000,4000000,2.67E+11,17703745,33091113,2149690,2640,0,4272,777.9,SAU,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg
Serbia,Serbia,0.9479,109,9,17,1,38,44,0,293,904,87,144,88,19,0,0,0,0,907000000,29500000000,26,18740,75000,77500000,3468274,7078110,77474,0,587,2322,42.65,SRB,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg
Sierra Leone,Sierra Leone,4.2063,5,0,0,0,0,5,2,0,13,0,0,0,10,0,0,0,0,75500000,1615000000,8,0,9500,0,1432872,6312212,71740,402,800,1093,5.41,SLE,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg
